Name,Year,Certificate,Runtime,Genres,Director,Stars,Ratings,Metascore,Votes
The Menu,2022,R,107 min,"Comedy, Horror, Thriller",Mark Mylod,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Hong Chau",7.6,71,14657
Smile,V 2022,R,115 min,"Horror, Mystery, Thriller",Parker Finn,"Sosie Bacon,Jessie T. Usher,Kyle Gallner,Robin Weigert",6.7,68,61841
Barbarian,2022,R,102 min,"Horror, Mystery, Thriller",Zach Cregger,"Georgina Campbell,Bill Skarsgård,Justin Long,Matthew Patrick Davis",7.1,78,84913
Terrifier 2,2022,Not Rated,138 min,Horror,Damien Leone,"Lauren LaVera,David Howard Thornton,Jenna Kanell,Catherine Corcoran",6.3,59,19732
Bones and All,2022,R,131 min,"Drama, Horror, Romance",Luca Guadagnino,"Timothée Chalamet,Taylor Russell,Mark Rylance,Kendle Coffey",7.3,72,2426
X,II 2022,R,105 min,"Horror, Mystery, Thriller",Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",6.6,79,87382
Nope,2022,R,130 min,"Horror, Mystery, Sci-Fi",Jordan Peele,"Daniel Kaluuya,Keke Palmer,Brandon Perea,Michael Wincott",6.9,77,160917
Pearl,2022,R,103 min,Horror,Ti West,"Mia Goth,David Corenswet,Tandi Wright,Matthew Sunderland",7,73,25908
Terrifier,2016,Unrated,85 min,"Horror, Thriller",Damien Leone,"Jenna Kanell,Samantha Scaffidi,David Howard Thornton,Catherine Corcoran",5.6,,32506
Violent Night,2022,R,101 min,"Action, Comedy, Crime",Tommy Wirkola,"Beverly D'Angelo,David Harbour,John Leguizamo,Cam Gigandet",,,
Midsommar,2019,R,148 min,"Drama, Horror, Mystery",Ari Aster,"Florence Pugh,Jack Reynor,Vilhelm Blomgren,William Jackson Harper",7.1,72,320595
American Psycho,2000,R,102 min,"Crime, Drama, Horror",Mary Harron,"Christian Bale,Justin Theroux,Josh Lucas,Bill Sage",7.6,64,614541
The Black Phone,2021,R,103 min,"Horror, Thriller",Scott Derrickson,"Mason Thames,Madeleine McGraw,Ethan Hawke,Jeremy Davies",6.9,65,133734
Morbius,2022,PG-13,104 min,"Action, Adventure, Horror",Daniel Espinosa,"Jared Leto,Matt Smith,Adria Arjona,Jared Harris",5.2,35,120193
Prey for the Devil,2022,PG-13,93 min,"Horror, Thriller",Daniel Stamm,"Virginia Madsen,Jacqueline Byers,Colin Salmon,Ben Cross",5.2,38,4108
Wendell & Wild,2022,PG-13,105 min,"Animation, Adventure, Comedy",Henry Selick,"Lyric Ross,Keegan-Michael Key,Jordan Peele,Angela Bassett",6.5,69,6627
Doctor Strange in the Multiverse of Madness,2022,PG-13,126 min,"Action, Adventure, Fantasy",Sam Raimi,"Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Benedict Wong",6.9,60,405398
Halloween Ends,2022,R,111 min,"Horror, Thriller",David Gordon Green,"Jamie Lee Curtis,Andi Matichak,James Jude Courtney,Rohan Campbell",5,47,49902
Prey,I 2022,R,99 min,"Action, Adventure, Drama",Dan Trachtenberg,"Amber Midthunder,Dakota Beavers,Dane DiLiegro,Stormee Kipp",7.2,71,184230
Winnie-the-Pooh: Blood and Honey,2023,,,Horror,Rhys Frake-Waterfield,"Natasha Tosini,Amber Doig-Thorne,Craig David Dowsett,May Kelly",,,
Crimes of the Future,2022,R,107 min,"Drama, Horror, Sci-Fi",David Cronenberg,"Viggo Mortensen,Léa Seydoux,Kristen Stewart,Scott Speedman",5.9,67,26673
Hellraiser,2022,R,121 min,"Horror, Mystery, Thriller",David Bruckner,"Odessa A’zion,Jamie Clayton,Adam Faison,Drew Starkey",6,55,32413
Dracula,1992,R,128 min,"Drama, Fantasy, Horror",Francis Ford Coppola,"Gary Oldman,Winona Ryder,Anthony Hopkins,Keanu Reeves",7.4,57,219525
Get Out,I 2017,R,104 min,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener",7.7,85,606063
Last Night in Soho,2021,R,116 min,"Drama, Horror, Mystery",Edgar Wright,"Thomasin McKenzie,Anya Taylor-Joy,Matt Smith,Diana Rigg",7.1,65,135965
Watcher,I 2022,R,91 min,"Drama, Horror, Thriller",Chloe Okuno,"Maika Monroe,Karl Glusman,Burn Gorman,Tudor Petrut",6.3,72,23480
The Shining,1980,R,146 min,"Drama, Horror",Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers",8.4,66,1018003
Bodies Bodies Bodies,2022,R,94 min,"Comedy, Horror, Thriller",Halina Reijn,"Amandla Stenberg,Maria Bakalova,Rachel Sennott,Chase Sui Wonders",6.3,69,29185
The Invitation,II 2022,PG-13,105 min,"Horror, Thriller",Jessica M. Thompson,"Nathalie Emmanuel,Thomas Doherty,Sean Pertwee,Hugh Skinner",5.2,45,13798
Speak No Evil,2022,Not Rated,97 min,"Drama, Horror, Thriller",Christian Tafdrup,"Morten Burian,Sidsel Siem Koch,Fedja van Huêt,Karina Smulders",6.6,78,16274
Scream,I 2022,R,114 min,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Neve Campbell,Courteney Cox,David Arquette,Melissa Barrera",6.3,60,111316
The VVitch: A New-England Folktale,2015,R,92 min,"Drama, Fantasy, Horror",Robert Eggers,"Anya Taylor-Joy,Ralph Ineson,Kate Dickie,Julian Richings",6.9,83,263176
Run Sweetheart Run,2020,R,104 min,"Horror, Thriller",Shana Feste,"Ella Balinska,Pilou Asbæk,Clark Gregg,Shohreh Aghdashloo",5.4,51,3382
Constantine,2005,R,121 min,"Action, Fantasy, Horror",Francis Lawrence,"Keanu Reeves,Rachel Weisz,Djimon Hounsou,Shia LaBeouf",7,50,348312
Jeepers Creepers: Reborn,2022,R,88 min,"Horror, Mystery, Thriller",Timo Vuorensola,"Sydney Craven,Imran Adams,Jarreau Benjamin,Peter Brooke",2.5,,7412
It,I 2017,R,135 min,Horror,Andy Muschietti,"Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis",7.3,69,547520
X: The Man with the X-Ray Eyes,1963,Not Rated,79 min,"Horror, Sci-Fi, Thriller",Roger Corman,"Ray Milland,Diana Van der Vlis,Harold J. Stone,John Hoyt",6.6,,7483
Interview with the Vampire: The Vampire Chronicles,1994,R,123 min,"Drama, Fantasy, Horror",Neil Jordan,"Brad Pitt,Tom Cruise,Antonio Banderas,Kirsten Dunst",7.5,59,325428
Mr. Harrigan's Phone,2022,PG-13,104 min,"Drama, Horror, Mystery",John Lee Hancock,"Donald Sutherland,Jaeden Martell,Joe Tippett,Colin O'Brien",6,55,25805
Scream 6,2023,,,"Horror, Mystery, Thriller",Matt Bettinelli-Olpin,"Tyler Gillett,Melissa Barrera,Jenna Ortega,Courteney Cox,Jasmin Savoy Brown",,,
Hereditary,2018,R,127 min,"Drama, Horror, Mystery",Ari Aster,"Toni Collette,Milly Shapiro,Gabriel Byrne,Alex Wolff",7.3,87,315418
Alien,1979,R,117 min,"Horror, Sci-Fi",Ridley Scott,"Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright",8.5,89,879410
Men,2022,R,100 min,"Drama, Fantasy, Horror",Alex Garland,"Jessie Buckley,Rory Kinnear,Paapa Essiedu,Gayle Rankin",6.1,65,37686
The Pale Blue Eye,2022,R,128 min,"Crime, Horror, Mystery",Scott Cooper,"Christian Bale,Gillian Anderson,Lucy Boynton,Harry Melling",,,
Hocus Pocus,1993,PG,96 min,"Comedy, Family, Fantasy",Kenny Ortega,"Bette Midler,Sarah Jessica Parker,Kathy Najimy,Omri Katz",6.9,43,143098
Suspiria,I 2018,R,152 min,"Drama, Fantasy, Horror",Luca Guadagnino,"Chloë Grace Moretz,Tilda Swinton,Doris Hick,Malgorzata Bela",6.7,64,79272
Beast,I 2022,R,93 min,"Adventure, Drama, Horror",Baltasar Kormákur,"Liyabuya Gongo,Martin Munro,Daniel Hadebe,Thapelo Sebogodi",5.6,54,22902
The Chalk Line,2022,,106 min,"Horror, Mystery, Thriller",Ignacio Tatay,"Elena Anaya,Pablo Molinero,Eva Tennear,Eva Llorach",6,,4150
Old,2021,PG-13,108 min,"Drama, Horror, Mystery",M. Night Shyamalan,"Gael García Bernal,Vicky Krieps,Rufus Sewell,Alex Wolff",5.8,55,119914
The Exorcist,1973,R,122 min,Horror,William Friedkin,"Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb",8.1,81,408388
